#,Name,Play Number,QB Comment,Series,Field Position,Down,Distance,Gain,OFF Group,Personnel,The_Play,Backfield,FIB,Formation,Form Adj Y,Form Adj WR,Form Adj Bunch Stick,Empty,Motion,Motion 2,Motion 3,Protection,Play,Tempo,Run Concept,Pass Concept,Pass Concept 1,Pass Concept 2,Screen Concept,RPO1,ADDON 1,R/P,Pass Result,MOE,QB#,J#,EFF,gamedate,pff_GAMEDATE,pff_WEEK,pff_QUARTER,pff_DOWN,pff_CLOCK,pff_2MINUTE,pff_DRIVESTARTEVENT,pff_DRIVEENDEVENT,pff_DRIVESTARTFIELDPOSITION,pff_DRIVEENDFIELDPOSITION,pff_FIELDPOSITION,pff_DRIVEENDPLAYNUMBER,pff_DRIVE,pff_DRIVEPLAY,pff_GAINLOSS,pff_GAINLOSSNET,pff_DISTANCE,pff_FIRST_DOWN_GAINED,pff_RUNPASS,pff_RUNPASSOPTION,pff_PASSRESULT,pff_QB,pff_BALLCARRIER,pff_PENALTYYARDS,pff_SCORE,pff_SCOREDIFFERENTIAL,pff_OFFPERSONNELBASIC,pff_OFFPERSONNEL,pff_OFFFORMATIONGROUP,pff_TIMETOTHROW,pff_YARDSAFTERCATCH,pff_YARDSAFTERCONTACT,pff_DEFPERSONNEL,pff_HASH,pff_INTERCEPTION,pff_PASSDIRECTION,pff_PASSRECEIVERTARGET,Unnamed: 37,pff_PENALTY,pff_QBPRESSUREALLOWED,pff_QBSCRAMBLE,pff_RBALIGNMENT,pff_RBDEPTH,pff_RBDIRECTION,pff_RBSINBACKFIELD,pff_RUNCONCEPTPRIMARY,pff_RUNCONCEPTSECONDARY,pff_SACK,pff_TEALIGNMENT,pff_PLAYCLOCK
248,"04 NCCR OFF vs. FLUN (09/23/23), Play 046",46,,9,37,2,11,4,,11,YAC HAC FIB DUAL RT OFF BEAR OMAR,GUN,X,DUAL,,,,,AC-Y,AC-H,,,BEAR OMAR,,BEAR-LION OMAR,,,,,,,R,,,4,4,N,9/23/2023,9/23/2023,4,4,2,11:14,0,FUMBLE,PUNT,-38,41,37,9,9,8,4,4,11,,R,0,,NCCR 04,NCCR 04,,19,-12,11,3-0-1-1,2x2,,,2,3/3/2005,L,,,,,,,,HB-R,HB-R (-6),R,1; NCCR 13 (HB-R),OUTSIDE ZONE,SPEED OPTION,,R,3
249,"04 NCCR OFF vs. FLUN (09/23/23), Play 047",47,,9,33,3,7,-8,,11,NINER JUKE,EMPTY,,JUKE,,2,,X,,,,LOAD-ROCK,NINER JUKE,NINER,,JUKE,JUKE,,,,,P,SACK,SACK,4,4,N,9/23/2023,9/23/2023,4,4,3,10:41,0,FUMBLE,PUNT,-38,41,33,9,9,9,-8,-8,7,,P,0,SACK,NCCR 04,NCCR 04,,19,-12,11,3-0-1-1,3x2,2.4,,,2/4/2005,R,,X,,,,NCCR 50; NCCR 52; NCCR 79,,EMPTY,,,,,,FLUN D11; FLUN D88,,14
210,"04 NCCR OFF vs. FLUN (09/23/23), Play 048",48,,10,-5,0,10,-4,,12,DEUCE RT SLOT Q-LION BOSS,GUN,,DEUCE,,SLOT,,,,,,,Q-LION BOSS,,BEAR-LION Q BOSS,,,,,,,R,,,4,4,N,9/23/2023,9/23/2023,4,4,1,6:34,0,PUNT - FC,PUNT,-5,-10,-5,3,10,1,-4,-4,10,,R,0,,NCCR 04,NCCR 04,,19,-12,12,2-0-1-2,3x1,,,1,3/4/2004,R,,,,,,,,HB-L,HB-L (-6),L,1; NCCR 13 (HB-L),OUTSIDE ZONE,LEAD;QB RUNS,,L;R,21
250,"04 NCCR OFF vs. FLUN (09/23/23), Play 049",49,,10,-1,2,14,3,,12,TRIPS RT H-IN JORDAN,UNDER,,TRIPS,,,,,IN-H,,,,JORDAN,,SNEAKER,,,,,,,R,,,4,4,N,9/23/2023,9/23/2023,4,4,2,5:53,0,PUNT - FC,PUNT,-5,-10,-1,3,10,2,3,3,14,,R,0,,NCCR 04,NCCR 04,,19,-12,12,2-0-1-2,1x2,,,3,3/4/2004,L,,,,,,,,HB; FB,HB (-7); FB (-2),U,2; NCCR 13 (HB); NCCR 18 (FB),SNEAK,,,R,4
251,"04 NCCR OFF vs. FLUN (09/23/23), Play 050",50,,10,-4,3,11,,,12,DEUCE LT SLOT THURSDAY,GUN,,DEUCE,,SLOT,,,,,,,THURSDAY,THURSDAY,,,,,,,,X,,PENALTY,4,,,9/23/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,"04 NCCR OFF vs. FLUN (09/23/23), Play 051",51,,10,-2,3,13,,,12,DOT LT JILL CHIP Y-PUNCH DANCER,GUN,,DOT,,,,,,,,JILL-JACK CHIP,JILL CHIP Y-PUNCH DANCER,,,PUNCH-Y DANCER,PUNCH-Y,DANCER,,,,P,X,PENALTY,4,10,N,9/23/2023,9/23/2023,4,4,3,4:47,0,PUNT - FC,PUNT,-5,-10,-2,3,10,3,8,8,13,,P,0,COMPLETE,NCCR 04,NCCR 19,,19,-12,12,2-0-1-2,2x2,2,0,0,2/4/2005,L,,L,NCCR 19,,,NCCR 75,,HB-R,HB-R (-5),,1; NCCR 13 (HB-R),,,,L;R,5
253,"04 NCCR OFF vs. FLUN (09/23/23), Play 052",52,,10,-2,3,13,8,,12,DOT LT CLASSY JACK QK CHIP HERO SPACING,GUN,,DOT,,CLASSY,,,,,,JILL-JACK QK CHIP,QK JACK CHIP HERO SPACING,,,HERO SPACING,HERO,SPACING,,,,P,C,,4,19,N,9/23/2023,9/23/2023,4,4,3,4:47,0,PUNT - FC,PUNT,-5,-10,-2,3,10,3,8,8,13,,P,0,COMPLETE,NCCR 04,NCCR 19,,19,-12,12,2-0-1-2,2x2,2,0,0,2/4/2005,L,,L,NCCR 19,,,NCCR 75,,HB-R,HB-R (-5),,1; NCCR 13 (HB-R),,,,L;R,5
254,"04 NCCR OFF vs. FLUN (09/23/23), Play 053",53,,11,-25,0,10,10,,11,FIB DUAL RT OFF SPIDER Y-TRAIL,GUN,X,DUAL,OFF,,,,,,,,,,,,,,,,,,,,,,,9/23/2023,9/23/2023,4,4,1,2:28,2,KICKOFF - TB,DOWNS,-25,35,-25,7,11,1,10,10,10,1,P,1,COMPLETE,NCCR 04,NCCR 86,,22,-15,11,3-0-1-1,2x2,2.5,10,1,2/4/2005,L,,L,NCCR 86,,,,,HB-L,HB-L (-6),,1; NCCR 13 (HB-L),INSIDE ZONE,,,R,20
255,"04 NCCR OFF vs. FLUN (09/23/23), Play 054",54,,11,-35,1,10,7,,11,FIB DUAL RT OFF SPIDER Y-TRAIL,GUN,X,DUAL,OFF,,,,,,,,SPIDER Y-TRAIL,2 MINUTE,BEETLE-SPIDER TRAIL,,,,,TRAIL-Y,,R,,,4,4,Y,9/23/2023,9/23/2023,4,4,1,2:05,2,KICKOFF - TB,DOWNS,-25,35,-35,7,11,2,7,7,10,,R,0,,NCCR 04,NCCR 04,,22,-15,11,3-0-1-1,2x2,,,0,2/4/2005,L,,,,,,,,HB-L,HB-L (-5),R,1; NCCR 13 (HB-L),INSIDE ZONE,READ OPTION;SPLIT,,R,23
211,"04 NCCR OFF vs. FLUN (09/23/23), Play 055",55,,11,-42,2,3,23,,11,TRAIN RT OFF LOAD PIN SPROLES,GUN,,TRAIN,OFF,,,,,,,LOAD-ROCK,LOAD PIN SPROLES,2 MINUTE,,PIN SPROLES,PIN,SPROLES,,,,P,C,,4,10,Y,9/23/2023,9/23/2023,4,4,2,1:39,2,KICKOFF - TB,DOWNS,-25,35,-42,7,11,3,23,23,3,1,P,0,COMPLETE,NCCR 04,NCCR 10,,22,-15,11,3-0-1-1,1x3,3.3,7,4,3/3/2005,L,,M,NCCR 10,,,,,HB-L,HB-L (-5),,1; NCCR 13 (HB-L),,,,R,21
256,"04 NCCR OFF vs. FLUN (09/23/23), Play 056",56,,11,35,1,10,0,,11,TRAIN RT OFF JILL PIN BOOT,GUN,,TRAIN,OFF,,,,,,,JILL-JACK,JILL PIN BOOT,2 MINUTE,,PIN BOOT,PIN,BOOT,,,,P,I,,4,3,N,9/23/2023,9/23/2023,4,4,1,1:21,2,KICKOFF - TB,DOWNS,-25,35,35,7,11,4,,0,10,,P,0,THROWN AWAY,NCCR 04,,,22,-15,11,3-0-1-1,1x3,5.8,,,3/3/2005,L,,X,,,,NCCR 76,,HB-L,HB-L (-6),L,1; NCCR 13 (HB-L),,,,R,24
257,"04 NCCR OFF vs. FLUN (09/23/23), Play 057",57,,11,35,2,10,0,,11,Z-TANGO LT A R-HOME N. SPRINT SHOE,GUN,,TANGO,,A,,,,,HOME-R,,SPRINT,2 MINUTE,,SHOE,SHOE,,,,,P,I,,4,19,N,9/23/2023,9/23/2023,4,4,2,1:11,2,KICKOFF - TB,DOWNS,-25,35,35,7,11,5,,0,10,,P,0,INCOMPLETE,NCCR 04,,,22,-15,11,3-0-1-1,1x3,4,,,3/3/2005,L,,R,NCCR 19,,,NCCR 21; NCCR 52,,HB-R,HB-R (-5),R,1; NCCR 21 (HB-R),,,,L,4
258,"04 NCCR OFF vs. FLUN (09/23/23), Play 058",58,,11,35,3,10,0,,11,YAC TRAIN RT S. CALI RUBY,GUN,,TRAIN,,,,,AC-Y,,,,S. CALI RUBY,2 MINUTE,,,,,CALI LUCY-RUBY,,,P,I,,4,18,N,9/23/2023,9/23/2023,4,4,3,1:06,2,KICKOFF - TB,DOWNS,-25,35,35,7,11,6,,0,10,,P,0,THROWN AWAY,NCCR 04,,,22,-15,11,3-0-1-1,1x3,2.2,,,3/3/2005,L,,X,,,,NCCR 50,,HB-R,HB-R (-5),L,1; NCCR 13 (HB-R),POWER,,,R,4
259,"04 NCCR OFF vs. FLUN (09/23/23), Play 059",59,,11,35,4,10,0,,11,TRAIN RT OFF THURSDAY (CK. JILL H-DRIVE DANCER),GUN,,TRAIN,OFF,,,,,,,JILL-JACK,JILL H-DRIVE DANCER,2 MINUTE,,DRIVE-H DANCER,DRIVE-H,DANCER,,,,P,I,,4,19,N,9/23/2023,9/23/2023,4,4,4,1:00,2,KICKOFF - TB,DOWNS,-25,35,35,7,11,7,,0,10,,P,0,INCOMPLETE,NCCR 04,,,22,-15,11,3-0-1-1,1x3,3.2,,,2/4/2005,L,,R,NCCR 19,,,NCCR 75; NCCR 79,,HB-L,HB-L (-5),L,1; NCCR 13 (HB-L),,,,R,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
