#,Name,Play Number,QB Comment,Series,Field Position,Down,Distance,Gain,OFF Group,Personnel,The_Play,Backfield,FIB,Formation,Form Adj Y,Form Adj WR,Form Adj Bunch Stick,Empty,Motion,Motion 2,Motion 3,Protection,Play,Tempo,Run Concept,Pass Concept,Pass Concept 1,Pass Concept 2,Screen Concept,RPO1,ADDON 1,R/P,Pass Result,MOE,QB#,J#,EFF
164,"03 NCCR OFF vs. GAST (09/16/23), Play 034",34,#52 MA. LOAD = SLIDE RT. QB PRESSURE,6,35,4,3,7,,11,FIB DOUBLE LT OFF H-IN LOAD H-SMACK,GUN,X,DOUBLE,,,,,IN-H,,,LOAD-ROCK,LOAD H-SMACK,,,SMACK-H,SMACK-H,,,,,P,C,,11,10,Y
165,"03 NCCR OFF vs. GAST (09/16/23), Play 035",35,,6,28,1,10,15,,11,TRAIN RT JILL H-DRIVE DANCER,GUN,,TRAIN,,,,,,,,JILL-JACK,JILL H-DRIVE DANCER,,,DRIVE-H DANCER,DRIVE-H,DANCER,,,,P,I,,11,19,Y
166,"03 NCCR OFF vs. GAST (09/16/23), Play 036",36,,6,13,1,10,9,,11,Z-TANGO LT N. SPRINT SHOE,GUN,,TANGO,,,,,,,,SPRINT,N. SPRINT SHOE,,,SHOE,SHOE,,,,,P,C,,11,22,Y
167,"03 NCCR OFF vs. GAST (09/16/23), Play 037",37,,6,4,2,1,0,,11,DUAL RT CLASSY QK JACK SPACING X-STICK,GUN,,DUAL,,,,,,,,JILL-JACK QK,QK JACK SPACING X-STICK,,,SPACING STICK-X,SPACING,STICK-X,,,,P,I,,11,10,N
168,"03 NCCR OFF vs. GAST (09/16/23), Play 038",38,,6,4,3,1,4,,11,DUAL RT Z-JET ROACH Z-STREET,GUN,,DUAL,,,,,JET-Z,,,,ROACH Z-STREET,,ROACH-LEECH STREET,,,,,STREET-Z,,P,C,,11,19,Y
169,"03 NCCR OFF vs. GAST (09/16/23), Play 039",39,,7,-25,1,10,5,,11,FIB DOUBLE RT OFF H-IN BEETLE H-TRAIL,GUN,X,DOUBLE,OFF,,,,IN-H,,,,BEETLE H-TRAIL,,BEETLE-SPIDER TRAIL,,,,,TRAIL-H,,R,,,11,13,Y
170,"03 NCCR OFF vs. GAST (09/16/23), Play 040",40,,7,-30,2,5,-4,,11,(P) TRAIN RT OFF Y-CREEP EAGLES,PISTOL,,TRAIN,,,,,CREEP-Y,,,,EAGLES,,EAGLES-RAVENS,,,,,,,R,,,11,13,N
171,"03 NCCR OFF vs. GAST (09/16/23), Play 041",41,,7,-26,3,9,12,,11,YAC TROLLY RT SALLY,GUN,,TROLLY,,,,,,,,,SALLY,,,,,,SALLY-ROSE,,,P,C,,11,13,Y
172,"03 NCCR OFF vs. GAST (09/16/23), Play 042",42,,7,-38,1,10,0,,11,FIB DOUBLE RT OFF H-JET S. CALI Z-BREAKER,GUN,X,DOUBLE,,,,,JET-H,,,CALI,S. CALI Z-BREAKER,,,BREAKER-Z,BREAKER-Z,,,,,P,C,,11,19,N
173,"03 NCCR OFF vs. GAST (09/16/23), Play 043",43,,7,-38,2,10,-13,,12,FLANK LT JILL H-DRIVE ROCKER,GUN,,FLANK,,,,,,,,JILL-JACK,JILL H-DRIVE ROCKER,,,DRIVE-H ROCKER,DRIVE-H,ROCKER,,,,P,,SACK,11,11,N
