#,Name,Play Number,QB Comment,Series,Field Position,Down,Distance,Gain,OFF Group,Personnel,The_Play,Backfield,FIB,Formation,Form Adj Y,Form Adj WR,Form Adj Bunch Stick,Empty,Motion,Motion 2,Motion 3,Protection,Play,Tempo,Run Concept,Pass Concept,Pass Concept 1,Pass Concept 2,Screen Concept,RPO1,ADDON 1,R/P,Pass Result,MOE,QB#,J#,EFF
227,"04 NCCR OFF vs. FLUN (09/23/23), Play 022",22,,5,13,1,13,1,,12,DUAL LT OFF H-JET IRON Y-SHOP,GUN,,DUAL,OFF,,,,JET-H,,,,IRON Y-SHOP,,IRON-STEEL SHOP,,,,,SHOP-Y,,P,C,,4,81,N
228,"04 NCCR OFF vs. FLUN (09/23/23), Play 023",23,,5,12,2,12,5,,12,(U) YAHOO TRIPS LT OX SQUEEZE X-JET S. LOOPER Z-CORNER,UNDER,,TRIPS,,OX / SQUEEZE,,,YAHOO,,,LOOPER,S. LOOPER Z-CORNER,,,LOOPER CORNER-Z,LOOPER,CORNER-Z,,,,P,SR,,4,4,N
229,"04 NCCR OFF vs. FLUN (09/23/23), Play 024",24,,5,7,3,7,7,,11,TROLLY RT Q. PAPER RECLINER X-BOW,GUN,,TROLLY,,,,,,,,,Q-PAPER RECLINER X-BOW,,PENCIL-PAPER Q,RECLINER BOW-X,RECLINER,BOW-X,,,,R,,,4,4,Y
230,"04 NCCR OFF vs. FLUN (09/23/23), Play 025",25,,6,-19,0,10,2,,11,YAC TRAIN LT S. GOLFER SAIL,GUN,,TRAIN,,,,,AC-Y,,,GOLFER,S. GOLFER SAIL,,,GOLFER SAIL,GOLFER,SAIL,,,,P,SR,,4,4,N
231,"04 NCCR OFF vs. FLUN (09/23/23), Play 026",26,,6,-21,2,8,30,,11,TRAIN RT OFF BEAR OMAR,GUN,,TRAIN,OFF,,,,,,,,BEAR OMAR,,BEAR-LION OMAR,,,,,,,R,,,4,4,Y
232,"04 NCCR OFF vs. FLUN (09/23/23), Play 027",27,,6,49,1,10,-7,,11,DUAL RT OFF JACK Y-PUNCH DANCER,GUN,,DUAL,OFF,,,,,,,JILL-JACK,JACK Y-PUNCH DANCER,,,PUNCH-Y DANCER,PUNCH-Y,DANCER,,,,P,SACK,SACK,4,4,N
233,"04 NCCR OFF vs. FLUN (09/23/23), Play 029",29,,7,42,2,20,5,,11,YAC HAC FIB DUAL LT OFF LION OLY,GUN,X,DUAL,,,,,AC-Y,AC-H,,,LION OLY,,BEAR-LION OMAR,,,,,,,R,,,4,4,N
234,"04 NCCR OFF vs. FLUN (09/23/23), Play 030",30,,7,37,3,15,0,,11,(P) TRAIN RT OFF S. CALI RUBY,PISTOL,,TRAIN,OFF,,,,,,,,S. CALI RUBY,,,,,,CALI LUCY-RUBY,,,P,C,,4,86,N
235,"04 NCCR OFF vs. FLUN (09/23/23), Play 031",31,,8,-25,0,10,1,,12,DEUCE RT SLOT IRON H-SHOP,GUN,,DEUCE,,SLOT,,,,,,,IRON H-SHOP,,IRON-STEEL SHOP,,,,,SHOP-H,,P,C,,4,18,N
236,"04 NCCR OFF vs. FLUN (09/23/23), Play 032",32,,8,-26,2,9,4,,12,HAC DEUCE RT SLOT THURSDAY (CK. BEETLE SLICE),GUN,,DEUCE,,SLOT,,,AC-H,,,,BEETLE SLICE,,BEETLE-SPIDER SLICE,,,,,,,R,,,4,13,N
237,"04 NCCR OFF vs. FLUN (09/23/23), Play 033",33,,8,-30,3,5,6,,12,NINER THURSDAY (CK. NINER JUKE),EMPTY,,JUKE,,2,,X,,,,LOAD-ROCK,NINER JUKE,,,JUKE,JUKE,,,,,P,C,,4,18,Y
238,"04 NCCR OFF vs. FLUN (09/23/23), Play 035",35,,8,-45,2,1,,,,,,,,,,,,,,,,,,,,,,,,,X,,PENALTY,,,
239,"04 NCCR OFF vs. FLUN (09/23/23), Play 036",36,,8,-40,2,6,0,,12,DOT LT JILL CHIP Y-PUNCH DANCER,GUN,,DOT,,,,,,,,JILL-JACK CHIP,JILL CHIP Y-PUNCH DANCER,,,PUNCH-Y DANCER,PUNCH-Y,DANCER,,,,P,I,,4,3,N
240,"04 NCCR OFF vs. FLUN (09/23/23), Play 037",37,,8,-40,3,6,,,12,FLANK LT JILL CHIP MARS ANKLE,GUN,,FLANK,,,,,,,,JILL-JACK CHIP,JILL CHIP MARS ANKLE,,,MARS ANKLE,MARS,ANKLE,,,,X,X,PENALTY,4,,N
241,"04 NCCR OFF vs. FLUN (09/23/23), Play 039",39,,9,-39,2,9,2,,12,BUMP DEUCE RT SLOT LION OLY,GUN,,DEUCE,,SLOT,,,,,BUMP,,LION OLY,,BEAR-LION OMAR,,,,,,,R,,,4,4,N
242,"04 NCCR OFF vs. FLUN (09/23/23), Play 040",40,,9,-41,3,7,6,,12,DOLPHIN LT Z-BACK SHOW SALLY CRACK,GUN,,DOLPHIN,,,,,BACK-Z,,,,SHOW SALLY CRACK,,,,,,SALLY-ROSE CRACK,,CRACK,P,C,,4,13,Y
243,"04 NCCR OFF vs. FLUN (09/23/23), Play 041",41,,9,-47,4,1,5,,12,NASA (U) YAHOO TRIX RT X-JET H-IN,UNDER,,TRIX,,,,,YAHOO,JET-X,IN-H,,NASA,NASA,,,,,,,,X,,,4,,Y
244,"04 NCCR OFF vs. FLUN (09/23/23), Play 042",42,,9,48,1,10,-7,,12,TRAIN RT OFF LIZZY SUN SWITCH X-DRAG,GUN,,TRAIN,OFF,,,,,,,LIZZY-RIPPY,LIZZY SUN SWITCH X-DRAG,,,SUN SWITCH DRAG-X,SUN SWITCH,DRAG-X,,,,P,SACK,SACK,4,4,N
245,"04 NCCR OFF vs. FLUN (09/23/23), Play 043",43,,9,-45,2,17,19,,12,(P) TRAIN LT OFF H-BOMBER N. CALI LUCY,PISTOL,,TRAIN,OFF,,,,BOMBER-H,,,,N. CALI LUCY,,,,,,CALI LUCY-RUBY,,,P,C,,4,81,Y
246,"04 NCCR OFF vs. FLUN (09/23/23), Play 044",44,,9,36,1,10,4,,12,TRIPS RT OX 1 R-JET N. PITT COVER,EMPTY,,TRIPS,,OX / 1,,X,,,JET-R,,N. PITT COVER,,PITT COVER,,,,,,,R,,,4,4,Y
247,"04 NCCR OFF vs. FLUN (09/23/23), Play 045",45,,9,32,2,6,5,,11,YAC TRAIN RT OX SPIDER SLIP,GUN,,TRAIN,,OX,,,AC-Y,,,,SPIDER SLIP,,BEETLE-SPIDER SLIP,,,,,,,R,,PENALTY,4,4,Y
248,"04 NCCR OFF vs. FLUN (09/23/23), Play 046",46,,9,37,2,11,4,,11,YAC HAC FIB DUAL RT OFF BEAR OMAR,GUN,X,DUAL,,,,,AC-Y,AC-H,,,BEAR OMAR,,BEAR-LION OMAR,,,,,,,R,,,4,4,N
249,"04 NCCR OFF vs. FLUN (09/23/23), Play 047",47,,9,33,3,7,-8,,11,NINER JUKE,EMPTY,,JUKE,,2,,X,,,,LOAD-ROCK,NINER JUKE,NINER,,JUKE,JUKE,,,,,P,SACK,SACK,4,4,N
250,"04 NCCR OFF vs. FLUN (09/23/23), Play 049",49,,10,-1,2,14,3,,12,TRIPS RT H-IN JORDAN,UNDER,,TRIPS,,,,,IN-H,,,,JORDAN,,SNEAKER,,,,,,,R,,,4,4,N
251,"04 NCCR OFF vs. FLUN (09/23/23), Play 050",50,,10,-4,3,11,,,12,DEUCE LT SLOT THURSDAY,GUN,,DEUCE,,SLOT,,,,,,,THURSDAY,THURSDAY,,,,,,,,X,,PENALTY,4,,
252,"04 NCCR OFF vs. FLUN (09/23/23), Play 051",51,,10,-2,3,13,,,12,DOT LT JILL CHIP Y-PUNCH DANCER,GUN,,DOT,,,,,,,,JILL-JACK CHIP,JILL CHIP Y-PUNCH DANCER,,,PUNCH-Y DANCER,PUNCH-Y,DANCER,,,,P,X,PENALTY,4,10,N
253,"04 NCCR OFF vs. FLUN (09/23/23), Play 052",52,,10,-2,3,13,8,,12,DOT LT CLASSY JACK QK CHIP HERO SPACING,GUN,,DOT,,CLASSY,,,,,,JILL-JACK QK CHIP,QK JACK CHIP HERO SPACING,,,HERO SPACING,HERO,SPACING,,,,P,C,,4,19,N
254,"04 NCCR OFF vs. FLUN (09/23/23), Play 053",53,,11,-25,0,10,10,,11,FIB DUAL RT OFF SPIDER Y-TRAIL,GUN,X,DUAL,OFF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SPIDER Y-TRAIL,2 MINUTE,BEETLE-SPIDER TRAIL,,,,,TRAIL-Y,,P,C,,4,86,Y,,,,,,,,,,,,,,,
255,"04 NCCR OFF vs. FLUN (09/23/23), Play 054",54,,11,-35,1,10,7,,11,FIB DUAL RT OFF SPIDER Y-TRAIL,GUN,X,DUAL,OFF,,,,,,,,SPIDER Y-TRAIL,2 MINUTE,BEETLE-SPIDER TRAIL,,,,,TRAIL-Y,,R,,,4,4,Y
256,"04 NCCR OFF vs. FLUN (09/23/23), Play 056",56,,11,35,1,10,0,,11,TRAIN RT OFF JILL PIN BOOT,GUN,,TRAIN,OFF,,,,,,,JILL-JACK,JILL PIN BOOT,2 MINUTE,,PIN BOOT,PIN,BOOT,,,,P,I,,4,3,N
257,"04 NCCR OFF vs. FLUN (09/23/23), Play 057",57,,11,35,2,10,0,,11,Z-TANGO LT A R-HOME N. SPRINT SHOE,GUN,,TANGO,,A,,,,,HOME-R,,SPRINT,2 MINUTE,,SHOE,SHOE,,,,,P,I,,4,19,N
258,"04 NCCR OFF vs. FLUN (09/23/23), Play 058",58,,11,35,3,10,0,,11,YAC TRAIN RT S. CALI RUBY,GUN,,TRAIN,,,,,AC-Y,,,,S. CALI RUBY,2 MINUTE,,,,,CALI LUCY-RUBY,,,P,I,,4,18,N
259,"04 NCCR OFF vs. FLUN (09/23/23), Play 059",59,,11,35,4,10,0,,11,TRAIN RT OFF THURSDAY (CK. JILL H-DRIVE DANCER),GUN,,TRAIN,OFF,,,,,,,JILL-JACK,JILL H-DRIVE DANCER,2 MINUTE,,DRIVE-H DANCER,DRIVE-H,DANCER,,,,P,I,,4,19,N
