pff_PLAYID,pff_GAMEID,pff_GAMEDATE,pff_GAMESEASON,pff_WEEK,pff_GSISGAMEKEY,pff_GSISPLAYID,pff_QUARTER,pff_DOWN,pff_CLOCK,pff_BLITZDOG,pff_CATCHABLE,pff_DEEPPASS,pff_DEFSCORE,pff_DRAW,pff_DRIVE,pff_DRIVEPLAY,pff_GAINLOSS,pff_GARBAGETIME,pff_FIRST_DOWN_GAINED,pff_GETOFFTIME,pff_KICKYARDS,pff_NOHUDDLE,pff_NOPLAY,pff_OFFFORMATIONUNBALANCED,pff_OFFSCORE,pff_OPTION,pff_PENALTYYARDS,pff_PLAYACTION,pff_PREVIOUSPFFPLAYID,pff_NEXTPFFPLAYID,pff_RETURNYARDS,pff_SCORE,pff_SCREEN,pff_SNAPTIME,pff_SORTORDER,pff_STUNT,pff_TIMETOPRESSURE,pff_TIMETOTHROW,pff_TRICKLOOK,pff_TRICKPLAY,pff_YARDSAFTERCATCH,pff_YARDSAFTERCONTACT,pff_2MINUTE,pff_3MINUTE,pff_BALLCARRIER,pff_BOXPLAYERS,pff_BUNCHED,pff_CENTERPASSBLOCKDIRECTION,pff_CHECKROUTE,pff_CHIPROUTE,pff_DBDEPTH,pff_DEFFRONT,pff_DEFPERSONNEL,pff_DEFPLAYERS,pff_DEFPLAYERSRATINGS,pff_DEFSUBSTITUTIONS,pff_DEFSUCCESS,pff_DEFTEAM,pff_DISTANCE,pff_DLDROP,pff_DLTECHNIQUES,pff_DOUBLETEAM,pff_DRIVEENDEVENT,pff_DRIVEENDFIELDPOSITION,pff_DRIVEENDPLAYNUMBER,pff_DRIVESTARTEVENT,pff_DRIVESTARTFIELDPOSITION,pff_DROPBACKDEPTH,pff_DROPBACKTYPE,pff_FIELDPOSITION,pff_FIRSTCONTACT,pff_FORCEDFUMBLE,pff_FUMBLE,pff_FUMBLERECOVERY,pff_GAINLOSSNET,pff_GUNNERS,pff_HANGTIME,pff_HASH,pff_HASHDEF,pff_HIT,pff_HURRY,pff_INCOMPLETIONTYPE,pff_INJURED,pff_INTERCEPTION,pff_KEYPLAYERS,pff_KICKCONTACT,pff_KICKDEPTH,pff_KICKDIRACTUAL,pff_KICKDIRINTENDED,pff_KICKER,pff_KICKRESULT,pff_KICKTYPE,pff_KICKWIDTH,pff_KICKZONE,pff_LBDEPTH,pff_MISSEDTACKLE,pff_MOFOCPLAYED,pff_MOFOCSHOWN,pff_NEGATIVEPFFGRADE,pff_OFFFORMATION,pff_OFFFORMATIONGROUP,pff_OFFODDITIES,pff_OFFPERSONNEL,pff_OFFPERSONNELBASIC,pff_OFFPERSONNELSKILL,pff_OFFPLAYERS,pff_OFFPLAYERSRATINGS,pff_OFFSUBSTITUTIONS,pff_OFFSUCCESS,pff_OFFTEAM,pff_ONLOS,pff_OPERATIONTIME,pff_PASSBLOCKING,pff_PASSBREAKUP,pff_PASSCOVERAGE,pff_PASSCOVERAGE1,pff_PASSCOVERAGE2,pff_PASSCOVERAGEPLAYERS,pff_PASSDEPTH,pff_PASSDIRECTION,pff_PASSER,pff_PASSPATTERN,pff_PASSPATTERNBASIC,pff_PASSPATTERNBYPLAYER,pff_PASSRECEIVERPOSITIONTARGET,pff_PASSRECEIVERTARGET,pff_PASSRESULT,pff_PASSROUTETARGET,pff_PASSROUTETARGETGROUP,pff_PASSRUSHPLAYERS,pff_PASSRUSHRESULT,pff_PASSWIDTH,pff_PASSZONE,pff_PENALTY,pff_PISTOL,pff_PLAYACTIONFAKE,pff_PLAYENDFIELDPOSITION,pff_POAACTUAL,pff_POACHANGEREASON,pff_POAINTENDED,pff_POSITIVEPFFGRADE,pff_PRESS,pff_PRESSUREDETAIL,pff_PUMPFAKE,pff_PUNTRUSH,pff_PURSUIT,pff_QB,pff_QBMOVEDOFFSPOT,pff_QBPRESSURE,pff_QBPRESSUREALLOWED,pff_QBRESET,pff_QBSCRAMBLE,pff_RBALIGNMENT,pff_RBDEPTH,pff_RBDIRECTION,pff_RBSINBACKFIELD,pff_RETDIRECTIONINTENDED,pff_RETURNDIRECTION,pff_RETURNER,pff_RUNCONCEPTPRIMARY,pff_RUNCONCEPTSECONDARY,pff_RUNPASS,pff_SACK,pff_SCOREDIFFERENTIAL,pff_SHIFTMOTION,pff_SHOTGUN,pff_SPECIALTEAMSTYPE,pff_STOP,pff_STSAFETIES,pff_TACKLE,pff_TACKLEASSIST,pff_TEALIGNMENT,pff_TOUCHDOWN,pff_UNBLOCKEDPRESSURE,pff_VISE,pff_WRALIGNMENT,pff_CONTESTED,pff_RUNPASSOPTION,pff_PLAYCLOCK
5093818,24282,2023-09-09,2023,02,400638,59,1,1,15:00,0,,0,0,0,1,1,4,0,,,,0,0,1,0,0,,0,5093244,5094156,,0.00,0,,2,0,,,0,0,,3,0,0,NCCR 04,6; MDUN D01 (19); MDUN D05 (34); MDUN D07 (19); MDUN D08 (27); MDUN D11 (29); MDUN D45 (12),,,,,FS (9); FSR (11); SCBiR (2); SCBoR (4); RCB (7),LEO (12); LILB (19); DLT (19); DRT (27); RLB (29); REO (34),3-3-5,MDUN D01 (LILB); MDUN D02 (FSR); MDUN D03 (RCB); MDUN D04 (FS); MDUN D05 (REO); MDUN D07 (DLT); MDUN D08 (DRT); MDUN D11 (RLB); MDUN D12 (SCBiR); MDUN D13 (SCBoR); MDUN D45 (LEO),MDUN D01 (0.0); MDUN D02 (0.0); MDUN D03 (0.0); MDUN D04 (0.0); MDUN D05 (0.0); MDUN D07 (0.0); MDUN D08 (0.0); MDUN D11 (0.0); MDUN D12 (0.0); MDUN D13 (0.0); MDUN D45 (-1.0),DRIVE START,2A,MDUN,10,,LEO (12); DLT (19); DRT (27); REO (34),,TOUCHDOWN,+0,5,KICKOFF - TB,-25,,,-25,MDUN D11,,,,4,,,R,L,,,,,,NCCR 04 (QB); NCCR 52 (C); NCCR 79 (RT); MDUN D11 (RLB); MDUN D45 (LEO),,,,,,,,,,LILB (3); RLB (4),,C,C,NCCR 79; MDUN D45,LWR^; SLoWR; SLiWR; TE-L^; HB-L,4x0,,3-0-1-1,11,NCCR 10; NCCR 12; NCCR 13; NCCR 19; NCCR 81,NCCR 04 (QB); NCCR 10 (SLiWR); NCCR 12 (LWR); NCCR 13 (HB-L); NCCR 19 (SLoWR); NCCR 50 (RG); NCCR 52 (C); NCCR 75 (LT); NCCR 76 (LG); NCCR 79 (RT); NCCR 81 (TE-L),NCCR 04 (+0.5); NCCR 10 (0.0); NCCR 12 (0.0); NCCR 13 (0.0); NCCR 19 (0.0); NCCR 50 (0.0); NCCR 52 (0.0); NCCR 75 (0.0); NCCR 76 (0.0); NCCR 79 (-0.5); NCCR 81 (0.0),DRIVE START,2A,NCCR,NCCR 12; NCCR 81,,,,3,,,,,,,,,,,,,,,,,,,,,,-29,RG,,RG,NCCR 04,,,0,,,NCCR 04,0,,,0,,HB-L,HB-L (-5),R,1; NCCR 13 (HB-L),,,,COUNTER,QB RUNS,R,,0,,S,,MDUN D11,,MDUN D11,,L,,,,LWR^(-18.5); SLoWR(-11.5); SLiWR(-4.5),,0,11
5094156,24282,2023-09-09,2023,02,400638,85,1,2,14:18,0,,0,0,0,1,2,6,0,1,,,0,0,0,0,0,,0,5093818,5094205,,0.00,0,,3,0,,,0,0,,2,0,0,NCCR 01,9; MDUN D01 (17); MDUN D03 (37); MDUN D04 (01); MDUN D05 (29); MDUN D07 (15); MDUN D08 (22); MDUN D11 (25); MDUN D15 (11); MDUN D45 (37),,,,,FS (9); SSR (9),LLB (01); LOLB (11); LE (15); LILB (17); NT (22); RILB (25); RE (29); SSR (32); RLB (37); ROLB (37),3-4-4,MDUN D01 (LILB); MDUN D02 (FS); MDUN D03 (RLB); MDUN D04 (LLB); MDUN D05 (RE); MDUN D07 (LE); MDUN D08 (NT); MDUN D11 (RILB); MDUN D12 (SSR); MDUN D15 (LOLB); MDUN D45 (ROLB),MDUN D01 (0.0); MDUN D02 (0.0); MDUN D03 (0.0); MDUN D04 (0.0); MDUN D05 (-0.5); MDUN D07 (0.0); MDUN D08 (0.0); MDUN D11 (-0.5); MDUN D12 (0.0); MDUN D15 (0.0); MDUN D45 (-1.0),MDUN D15,3R,MDUN,6,,LE (15); NT (22); RE (29),,TOUCHDOWN,+0,5,KICKOFF - TB,-25,,,-29,MDUN D02,,,,6,,,R,L,,,,,,NCCR 01 (HB); NCCR 35 (TE-oR); NCCR 50 (RG); NCCR 75 (LT); MDUN D05 (RE); MDUN D11 (RILB); MDUN D45 (ROLB),,,,,,,,,,LOLB (0); LLB (2); LILB (3); RILB (4); RLB (4); ROLB (0),,O,O,MDUN D05; MDUN D11; MDUN D45,TE-L^; HB; TE-iR; TE-R^; TE-oR,1x3,,0-0-1-4,14,NCCR 01; NCCR 18; NCCR 35; NCCR 81; NCCR 86,NCCR 01 (HB); NCCR 04 (QB); NCCR 18 (TE-R); NCCR 35 (TE-oR); NCCR 50 (RG); NCCR 52 (C); NCCR 75 (LT); NCCR 76 (LG); NCCR 79 (RT); NCCR 81 (TE-L); NCCR 86 (TE-iR),NCCR 01 (+0.5); NCCR 04 (0.0); NCCR 18 (0.0); NCCR 35 (+0.5); NCCR 50 (0.0); NCCR 52 (0.0); NCCR 75 (+0.5); NCCR 76 (0.0); NCCR 79 (0.0); NCCR 81 (0.0); NCCR 86 (0.0),NCCR 01; NCCR 18; NCCR 35; NCCR 86,1G,NCCR,NCCR 18; NCCR 81,,,,4,,,,,,,,,,,,,,,,,,,,P,,-35,LT,,LT,NCCR 01; NCCR 35; NCCR 75,,,0,,,NCCR 04,0,,,0,,HB,HB (-7),L,1; NCCR 01 (HB),,,,COUNTER,CROSS LEAD,R,,0,,S,,,,MDUN D02,MDUN D01,L;R;R;R,,,,,,0,4
5094205,24282,2023-09-09,2023,02,400638,111,1,1,13:36,0,,0,0,0,1,3,9,0,,,,0,0,0,0,1,,0,5094156,5094282,,0.00,0,,4,0,,,0,0,,5,0,0,NCCR 00,7; MDUN D01 (26); MDUN D05 (30); MDUN D07 (15); MDUN D08 (22); MDUN D11 (15); MDUN D15 (09); MDUN D45 (36),,,,,LCB (1); FS (12); SSR (8); RCB (3),LOLB (09); LLB (15); LE (15); NT (22); RILB (26); RE (30); ROLB (36); SSR (43),3-4-4,MDUN D01 (RILB); MDUN D02 (FS); MDUN D03 (RCB); MDUN D04 (LCB); MDUN D05 (RE); MDUN D07 (LE); MDUN D08 (NT); MDUN D11 (LLB); MDUN D12 (SSR); MDUN D15 (LOLB); MDUN D45 (ROLB),MDUN D01 (0.0); MDUN D02 (0.0); MDUN D03 (0.0); MDUN D04 (0.0); MDUN D05 (0.0); MDUN D07 (0.0); MDUN D08 (0.0); MDUN D11 (-0.5); MDUN D12 (0.0); MDUN D15 (0.0); MDUN D45 (-0.5),,3R,MDUN,10,,LE (15); NT (22); RE (30),,TOUCHDOWN,+0,5,KICKOFF - TB,-25,,,-35,MDUN D45,,,,9,,,R,L,,,,,,NCCR 00 (HB-R); NCCR 50 (RG); MDUN D11 (LLB); MDUN D45 (ROLB),,,,,,,,,,LOLB (0); LLB (4); RILB (4); ROLB (0),MDUN D45,C,O,MDUN D11; MDUN D45,LWR; TE-L^; FB-L; HB-R; RWR^,2x1,TE>FB-L,2-0-1-2,12,NCCR 00; NCCR 12; NCCR 22; NCCR 35; NCCR 81,NCCR 00 (HB-R); NCCR 04 (QB); NCCR 12 (RWR); NCCR 22 (LWR); NCCR 35 (FB-L); NCCR 50 (RG); NCCR 52 (C); NCCR 75 (LT); NCCR 76 (LG); NCCR 79 (RT); NCCR 81 (TE-L),NCCR 00 (+0.5); NCCR 04 (0.0); NCCR 12 (0.0); NCCR 22 (0.0); NCCR 35 (0.0); NCCR 50 (+0.5); NCCR 52 (0.0); NCCR 75 (0.0); NCCR 76 (0.0); NCCR 79 (0.0); NCCR 81 (0.0),NCCR 00; NCCR 12; NCCR 22,1G,NCCR,NCCR 12; NCCR 81,,,,3,,,,,,,,,,,,,,,,,,,,,,-44,LE,,LE,NCCR 00; NCCR 50,MDUN D04 > NCCR 12,,0,,,NCCR 04,0,,,0,,HB-R; FB-L,HB-R (-5); FB-L (-4),L,2; NCCR 00 (HB-R); NCCR 35 (FB-L),,,,POWER,INVERTED;READ OPTION,R,,0,NCCR 35 (L:B),S,,,,MDUN D02,,L,,,,LWR(-5.5); RWR^(+19.5),,0,1
5094282,24282,2023-09-09,2023,02,400638,137,1,2,12:56,0,,0,0,0,1,4,8,0,1,,,0,0,0,0,0,,0,5094205,5094330,,0.00,0,,5,0,,,0,0,,4,0,0,NCCR 04,7; MDUN D01 (26); MDUN D05 (15); MDUN D07 (30); MDUN D08 (22); MDUN D11 (14); MDUN D15 (35); MDUN D45 (07),,,,,LCB (2); SSL (9); SSR (10); RCB (0),SSL (03); LOLB (07); LLB (14); LE (15); NT (22); RILB (26); RE (30); ROLB (35); SSR (38),3-4-4,MDUN D01 (RILB); MDUN D02 (SSR); MDUN D03 (RCB); MDUN D04 (LCB); MDUN D05 (LE); MDUN D07 (RE); MDUN D08 (NT); MDUN D11 (LLB); MDUN D12 (SSL); MDUN D15 (ROLB); MDUN D45 (LOLB),MDUN D01 (0.0); MDUN D02 (0.0); MDUN D03 (0.0); MDUN D04 (0.0); MDUN D05 (0.0); MDUN D07 (0.0); MDUN D08 (0.0); MDUN D11 (0.0); MDUN D12 (0.0); MDUN D15 (0.0); MDUN D45 (-0.5),,3R,MDUN,1,,LE (15); NT (22); RE (30),,TOUCHDOWN,+0,5,KICKOFF - TB,-25,,,-44,MDUN D04,,,,8,,,C,C,,,,,,NCCR 04 (QB); NCCR 35 (TE-oR); MDUN D45 (LOLB),,,,,,,,,,LOLB (0); LLB (3); RILB (3); ROLB (0),,O,O,MDUN D45,LWR^; HB-R; TE-iR; TE-oR^; RWR,1x3,,2-0-1-2,12,NCCR 00; NCCR 12; NCCR 22; NCCR 35; NCCR 81,NCCR 00 (HB-R); NCCR 04 (QB); NCCR 12 (LWR); NCCR 22 (RWR); NCCR 35 (TE-oR); NCCR 50 (RG); NCCR 52 (C); NCCR 75 (LT); NCCR 76 (LG); NCCR 79 (RT); NCCR 81 (TE-iR),NCCR 00 (0.0); NCCR 04 (+0.5); NCCR 12 (0.0); NCCR 22 (0.0); NCCR 35 (+0.5); NCCR 50 (0.0); NCCR 52 (0.0); NCCR 75 (0.0); NCCR 76 (0.0); NCCR 79 (0.0); NCCR 81 (0.0),,1G,NCCR,NCCR 12; NCCR 35,,,,4,,,,,,,,,,,,,,,,,,,,,,+48,RE,,RE,NCCR 04; NCCR 35,MDUN D03 > NCCR 12,,0,,,NCCR 04,0,,,0,,HB-R,HB-R (-6),R,1; NCCR 00 (HB-R),,,,MAN,LEAD;QB RUNS,R,,0,,S,,,,MDUN D04,,R;R,,,,LWR^(-16.5); RWR(+7.5),,0,7
5094330,24282,2023-09-09,2023,02,400638,163,1,1,12:08,0,1,1,0,0,1,5,48,0,1,,,0,0,0,0,0,,0,5094282,5094376,,0.00,0,,6,0,,3.4,0,0,3,0,0,0,NCCR 12,7; MDUN D01 (28); MDUN D05 (29); MDUN D07 (14); MDUN D08 (22); MDUN D11 (17); MDUN D15 (09); MDUN D45 (43),,R,,,LCB (3); FS (12); FSR (11); RCB (8),LOLB (09); LE (14); LILB (17); NT (22); RILB (28); RE (29); RLB (43),3-4-4,MDUN D01 (RILB); MDUN D02 (FS); MDUN D03 (RCB); MDUN D04 (LCB); MDUN D05 (RE); MDUN D07 (LE); MDUN D08 (NT); MDUN D11 (LILB); MDUN D12 (FSR); MDUN D15 (LOLB); MDUN D45 (RLB),MDUN D01 (0.0); MDUN D02 (0.0); MDUN D03 (-0.5); MDUN D04 (0.0); MDUN D05 (0.0); MDUN D07 (0.0); MDUN D08 (0.0); MDUN D11 (0.0); MDUN D12 (0.0); MDUN D15 (0.0); MDUN D45 (0.0),,3R,MDUN,10,,LE (14); NT (22); RE (29),,TOUCHDOWN,+0,5,KICKOFF - TB,-25,0,RL,+48,,,,,48,,,R,L,,,,,,NCCR 04 (QB); NCCR 12 (LWR); MDUN D03 (RCB),,,,,,,,,,LOLB (0); LILB (4); RILB (4); RLB (3),,O,O,MDUN D03,LWR^; SLWR; TE-L; HB-R; RWR^,3x1,TE>RWR,2-0-1-2,12,NCCR 00; NCCR 12; NCCR 18; NCCR 19; NCCR 81,NCCR 00 (HB-R); NCCR 04 (QB); NCCR 12 (LWR); NCCR 18 (TE-L); NCCR 19 (SLWR); NCCR 50 (RG); NCCR 52 (C); NCCR 75 (LT); NCCR 76 (LG); NCCR 79 (RT); NCCR 81 (RWR),NCCR 00 (0.0); NCCR 04 (+0.5); NCCR 12 (+0.5); NCCR 18 (0.0); NCCR 19 (0.0); NCCR 50 (0.0); NCCR 52 (0.0); NCCR 75 (0.0); NCCR 76 (0.0); NCCR 79 (0.0); NCCR 81 (0.0),NCCR 18; NCCR 19,1G,NCCR,NCCR 12; NCCR 81,,6; NCCR 18 (TE-L); NCCR 50 (RG); NCCR 52 (C); NCCR 75 (LT); NCCR 76 (LG); NCCR 79 (RT),,4,MDUN D03,,7; MDUN D01; MDUN D02; MDUN D03; MDUN D04; MDUN D11; MDUN D12; MDUN D45,45,L,NCCR 04 (QB),LWR 9; SLWR 3i(16); TE-L k; HB-R h31(2); RWR 3(5),9; 3; -; H5; 3,NCCR 12 9; NCCR 19 3i(16); NCCR 18 k; NCCR 00 h31(2); NCCR 81 3(5),LWR,NCCR 12,COMPLETE,9,9R,4; MDUN D05 (RE); MDUN D07 (LE); MDUN D08 (NT); MDUN D15 (LOLB),,8,2L,,,,+0,,,,NCCR 04; NCCR 12,,,0,,,NCCR 04,0,,,1,,HB-R,HB-R (-5),,1; NCCR 00 (HB-R),,,,,,P,,0,Y,S,,,,,,L,NCCR 12,,,LWR^(-17.5); SLWR(-8.5); RWR^(+14.5),,0,1
5094376,24282,2023-09-09,2023,02,400638,187,1,0,12:00,0,,0,0,0,,,,0,,,,0,0,0,6,0,,0,5094330,5094405,,0.06,0,,7,0,,,0,0,,,0,0,,,,,,,,5-4,,MDUN D01 (FL3); MDUN D02 (FR2); MDUN D03 (FL1); MDUN D04 (FR1); MDUN D05 (FL4); MDUN D07 (FL5); MDUN D08 (FL6); MDUN D11 (FR3); MDUN D12 (FL2); MDUN D13 (FBM); MDUN D45 (FR4),MDUN D01 (0.0); MDUN D02 (0.0); MDUN D03 (0.0); MDUN D04 (0.0); MDUN D05 (0.0); MDUN D07 (0.0); MDUN D08 (0.0); MDUN D11 (0.0); MDUN D12 (0.0); MDUN D13 (0.0); MDUN D45 (0.0),,,MDUN,0,,,,,,,,,,,+3,,,,,0,,,C,C,,,,,,,,,,,NCCR S98,MADE - M,,,,,,,,,,,,,,,NCCR 18 (FRW); NCCR 50 (FRG); NCCR 56 (FRE); NCCR 65 (FLG); NCCR 75 (FLE); NCCR 76 (FRT); NCCR 79 (FLT); NCCR 81 (FLW); NCCR S44 (H); NCCR S45 (FLS); NCCR S98 (FK),NCCR 18 (0.0); NCCR 50 (0.0); NCCR 56 (0.0); NCCR 65 (0.0); NCCR 75 (0.0); NCCR 76 (0.0); NCCR 79 (0.0); NCCR 81 (0.0); NCCR S44 (0.0); NCCR S45 (0.0); NCCR S98 (0.0),,,NCCR,NCCR 50; NCCR 56; NCCR 65; NCCR 75; NCCR 76; NCCR 79; NCCR S45,,,,,,,,,,,,,,,,,,,,,,,,,,+3,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,+6,,,EXTRA POINT,,2; MDUN D03 (FL1); MDUN D13 (FBM),,,,,,,,,0,
5094405,24282,2023-09-09,2023,02,400638,207,1,0,12:00,0,,0,7,0,,,60,0,,,60,0,0,0,0,0,,0,5094376,5094598,0,0.07,0,,8,0,,,0,0,,,0,0,MDUN 05,,,,,,,6-4,,NCCR 03 (R4); NCCR 11 (R1); NCCR 38 (R2); NCCR D02 (R3); NCCR D15 (L1); NCCR D16 (L5); NCCR D21 (L6); NCCR D23 (L2); NCCR D40 (L3); NCCR D43 (L4); NCCR S98 (PK),NCCR 03 (0.0); NCCR 11 (0.0); NCCR 38 (0.0); NCCR D02 (0.0); NCCR D15 (0.0); NCCR D16 (0.0); NCCR D21 (0.0); NCCR D23 (0.0); NCCR D40 (0.0); NCCR D43 (0.0); NCCR S98 (0.0),,,NCCR,0,,,MDUN 02 (RF3); MDUN D21 (RB); NCCR D21 (L6),,,,,,,,-35,,,,MDUN 24,52,,3.92,R,L,,,,,,MDUN 05 (KR); MDUN 24 (KFB),,60,R,R,NCCR S98,RETURNED,D,43,5R,,,,,MDUN 05,,6-0-3,,,,,MDUN 02 (RF3); MDUN 05 (KR); MDUN 16 (LF3); MDUN 24 (KFB); MDUN 85 (LF2); MDUN D06 (LF1); MDUN D09 (MB); MDUN D20 (RF1); MDUN D21 (RB); MDUN D22 (RF2); MDUN D44 (LB),MDUN 02 (0.0); MDUN 05 (-1.5); MDUN 16 (0.0); MDUN 24 (0.0); MDUN 85 (0.0); MDUN D06 (0.0); MDUN D09 (0.0); MDUN D20 (0.0); MDUN D21 (0.0); MDUN D22 (0.0); MDUN D44 (0.0),,,MDUN,,,,,,,,,,,,,,,,,,,,,,,,,,,+13,,,,,,,0,,,,0,,,0,,,,,,L,L,MDUN 05,,,,,-7,,,KICKOFF,,2; NCCR D15 (L1); NCCR D16 (L5),NCCR 38,,,,,,,,0,
5094951,24282,2023-09-09,2023,02,400638,270,1,0,11:50,0,,0,0,0,,,,0,,,,0,0,0,13,0,,0,5094598,5095703,,0.13,0,,10,0,,,0,0,,,0,0,,,,,,,,5-4,,MDUN D01 (FL4); MDUN D02 (FR2); MDUN D03 (FL1); MDUN D04 (FR1); MDUN D05 (FL3); MDUN D07 (FL5); MDUN D08 (FL6); MDUN D11 (FR3); MDUN D12 (FL2); MDUN D13 (FBM); MDUN D45 (FR4),MDUN D01 (0.0); MDUN D02 (0.0); MDUN D03 (0.0); MDUN D04 (0.0); MDUN D05 (0.0); MDUN D07 (0.0); MDUN D08 (0.0); MDUN D11 (0.0); MDUN D12 (0.0); MDUN D13 (0.0); MDUN D45 (0.0),,,MDUN,0,,,,,,,,,,,+3,,,,,0,,,C,C,,,,,,,,,,,NCCR S98,MADE - M,,,,,,,,,,,,,,,NCCR 18 (FRW); NCCR 50 (FRG); NCCR 56 (FRE); NCCR 65 (FLG); NCCR 75 (FLE); NCCR 76 (FRT); NCCR 79 (FLT); NCCR 81 (FLW); NCCR S44 (H); NCCR S45 (FLS); NCCR S98 (FK),NCCR 18 (0.0); NCCR 50 (0.0); NCCR 56 (0.0); NCCR 65 (0.0); NCCR 75 (0.0); NCCR 76 (0.0); NCCR 79 (0.0); NCCR 81 (0.0); NCCR S44 (0.0); NCCR S45 (0.0); NCCR S98 (0.0),,,NCCR,NCCR 50; NCCR 56; NCCR 65; NCCR 75; NCCR 76; NCCR 79; NCCR S45,,,,,,,,,,,,,,,,,,,,,,,,,,+3,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,+13,,,EXTRA POINT,,1; MDUN D13 (FBM),,,,,,,,,0,10
5095703,24282,2023-09-09,2023,02,400638,290,1,0,11:50,0,,0,14,0,,,67,0,,,67,0,0,0,0,0,,0,5094951,5095737,,0.14,0,,11,0,,,0,0,,,0,0,,,,,,,,6-4,,NCCR 03 (R4); NCCR 38 (R2); NCCR D02 (R3); NCCR D10 (R1); NCCR D15 (L1); NCCR D16 (L5); NCCR D21 (L6); NCCR D23 (L2); NCCR D40 (L3); NCCR D43 (L4); NCCR S98 (PK),NCCR 03 (0.0); NCCR 38 (0.0); NCCR D02 (0.0); NCCR D10 (0.0); NCCR D15 (0.0); NCCR D16 (0.0); NCCR D21 (0.0); NCCR D23 (0.0); NCCR D40 (0.0); NCCR D43 (0.0); NCCR S98 (0.0),,,NCCR,0,,,MDUN 16 (LF3); MDUN 85 (LF2); MDUN D06 (LF1); MDUN D21 (RB); NCCR 03 (R4); NCCR D21 (L6),,,,,,,,-35,,,,,40,,3.86,R,L,,,,,,,,67,R,R,NCCR S98,TOUCHBACK,D,38,5R,,,,,,,6-0-3,,,,,MDUN 02 (RF3); MDUN 05 (KR); MDUN 16 (LF3); MDUN 24 (KFB); MDUN 85 (LF2); MDUN D06 (LF1); MDUN D09 (MB); MDUN D20 (RF1); MDUN D21 (RB); MDUN D22 (RF2); MDUN D44 (LB),MDUN 02 (0.0); MDUN 05 (0.0); MDUN 16 (0.0); MDUN 24 (0.0); MDUN 85 (0.0); MDUN D06 (0.0); MDUN D09 (0.0); MDUN D20 (0.0); MDUN D21 (0.0); MDUN D22 (0.0); MDUN D44 (0.0),,,MDUN,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,,,,0,,,,0,,,0,,,,,,,,MDUN 05,,,,,-14,,,KICKOFF,,2; NCCR D15 (L1); NCCR D16 (L5),,,,,,,,,0,14
5096003,24282,2023-09-09,2023,02,400638,415,1,1,10:57,0,,0,0,0,2,1,9,0,,,,0,0,0,14,0,,0,5095908,5097252,,0.14,0,,16,0,,,0,0,,5,0,0,NCCR 01,7; MDUN D05 (15); MDUN D07 (30); MDUN D08 (22); MDUN D09 (16); MDUN D15 (35); MDUN D44 (28); MDUN D45 (08),,,,,LCB (2); SSL (9); SSR (10); RCB (0),SSL (04); LOLB (08); LE (15); LILB (16); NT (22); RILB (28); RE (30); SSR (34); ROLB (35),3-4-4,MDUN D02 (SSR); MDUN D03 (RCB); MDUN D04 (LCB); MDUN D05 (LE); MDUN D07 (RE); MDUN D08 (NT); MDUN D09 (LILB); MDUN D12 (SSL); MDUN D15 (ROLB); MDUN D44 (RILB); MDUN D45 (LOLB),MDUN D02 (-1.0); MDUN D03 (0.0); MDUN D04 (0.0); MDUN D05 (0.0); MDUN D07 (0.0); MDUN D08 (0.0); MDUN D09 (-0.5); MDUN D12 (0.0); MDUN D15 (0.0); MDUN D44 (0.0); MDUN D45 (0.0),DRIVE START,3R,MDUN,10,,LE (15); NT (22); RE (30),,PUNT,+47,5,PUNT - RETURN,-40,,,-40,MDUN D02,,,,9,,,L,R,,,,,,NCCR 01 (HB); NCCR 18 (TE-R); NCCR 76 (LG); NCCR 86 (FB-L); MDUN D02 (SSR); MDUN D09 (LILB); MDUN D44 (RILB); MDUN D45 (LOLB),,,,,,,,,,LOLB (0); LILB (4); RILB (4); ROLB (0),MDUN D02,O,O,NCCR 18; NCCR 76; MDUN D02; MDUN D09,LWR^; FB-L; HB; TE-R^; RWR,1x2,TE>FB-L,2-0-1-2,12,NCCR 01; NCCR 10; NCCR 12; NCCR 18; NCCR 86,NCCR 01 (HB); NCCR 04 (QB); NCCR 10 (RWR); NCCR 12 (LWR); NCCR 18 (TE-R); NCCR 50 (RG); NCCR 52 (C); NCCR 75 (LT); NCCR 76 (LG); NCCR 79 (RT); NCCR 86 (FB-L),NCCR 01 (+0.5); NCCR 04 (0.0); NCCR 10 (0.0); NCCR 12 (0.0); NCCR 18 (-0.5); NCCR 50 (0.0); NCCR 52 (0.0); NCCR 75 (0.0); NCCR 76 (-0.5); NCCR 79 (0.0); NCCR 86 (+0.5),DRIVE START,1G,NCCR,NCCR 12; NCCR 18,,,,4,,,,,,,,,,,,,,,,,,,,,,-49,RT,,RT,NCCR 01; NCCR 86,MDUN D03 > NCCR 12,,0,,,NCCR 04,0,,,0,,HB; FB-L,HB (-7); FB-L (-4),R,2; NCCR 01 (HB); NCCR 86 (FB-L),,,,COUNTER,CROSS LEAD,R,,+14,NCCR 18* (R:L{R}),,,,,MDUN D12,MDUN D44,R,,,,LWR^(-18.5); RWR(+2.5),,0,16
